CountyDistrictSchool|School Year|SPED Percentage
390010000|20092010|0.1798
390010000|20102011|0.1436
390010000|20112012|0.1436
390010000|20122013|0.1270
390010000|20132014|0.1366
390055000|20092010|0.3333
390055000|20102011|0.3297
390055000|20112012|0.3000
390055000|20122013|0.2364
390055000|20132014|0.2588
390501000|20092010|0.1685
390501000|20102011|0.1361
390501000|20112012|0.1026
390501000|20122013|0.0738
390501000|20132014|0.1143
400002000|20092010|0.1098
400002000|20102011|0.1146
400002000|20112012|0.1154
400002000|20122013|0.1106
400002000|20132014|0.1401
400082000|20092010|0.1192
400082000|20102011|0.1093
400082000|20112012|0.1082
400082000|20122013|0.1172
400082000|20132014|0.1136
400083000|20092010|0.0824
400083000|20102011|0.0679
400083000|20112012|0.0597
400083000|20122013|0.0501
400083000|20132014|0.0833
400126000|20092010|0.1527
400126000|20102011|0.1392
400126000|20112012|0.1399
400126000|20122013|0.1294
400126000|20132014|0.1537
410002000|20092010|0.1503
410002000|20102011|0.1297
410002000|20112012|0.1389
410002000|20132014|0.1467
410091000|20092010|0.1726
410091000|20102011|0.2053
410091000|20112012|0.2120
410091000|20122013|0.2032
410091000|20132014|0.2710
410504000|20092010|0.1437
410504000|20102011|0.1620
410504000|20112012|0.1764
410504000|20122013|0.1673
410504000|20132014|0.1674
420002000|20092010|0.1572
420002000|20102011|0.1776
420002000|20112012|0.1837
420002000|20122013|0.1873
420002000|20132014|0.2079
430079000|20092010|0.1020
430079000|20102011|0.1064
430079000|20112012|0.1399
430079000|20122013|0.1311
430079000|20132014|0.1574
440070000|20092010|0.1495
440070000|20102011|0.1475
440070000|20112012|0.1604
440070000|20122013|0.1486
440070000|20132014|0.1660
450007000|20092010|0.2073
450007000|20102011|0.2056
450007000|20112012|0.1989
450007000|20122013|0.1936
450007000|20132014|0.1978
450029000|20092010|0.1405
450029000|20102011|0.1750
450029000|20112012|0.1500
450029000|20122013|0.1550
450029000|20132014|0.1290
450044000|20092010|0.1235
450044000|20102011|0.1397
450044000|20112012|0.1639
450044000|20122013|0.1283
450044000|20132014|0.1341
450137000|20092010|0.1563
450137000|20102011|0.1319
450137000|20112012|0.1329
450137000|20122013|0.1128
450137000|20132014|0.1250
450239000|20092010|0.1712
450239000|20102011|0.1685
450239000|20112012|0.1589
450239000|20122013|0.1613
450239000|20132014|0.1648
460001000|20092010|0.1031
460001000|20102011|0.1089
460001000|20112012|0.1141
460001000|20122013|0.1287
460001000|20132014|0.0793
470001000|20092010|0.1152
470001000|20102011|0.1297
470001000|20112012|0.1246
470001000|20122013|0.1168
470001000|20132014|0.1260
470100000|20092010|0.1125
470100000|20102011|0.0942
470100000|20112012|0.1007
470100000|20122013|0.0928
470100000|20132014|0.1447
470103000|20092010|0.2033
470103000|20102011|0.1919
470103000|20112012|0.1818
470103000|20122013|0.2329
470103000|20132014|0.2464
480008000|20092010|0.2155
480008000|20102011|0.2237
480008000|20112012|0.2252
480008000|20122013|0.2347
480008000|20132014|0.2678
480300000|20092010|0.2230
480300000|20102011|0.1771
480300000|20112012|0.2051
480300000|20122013|0.1908
480300000|20132014|0.2268
480303000|20092010|0.2921
480303000|20102011|0.2240
480303000|20112012|0.2370
480303000|20122013|0.2516
480303000|20132014|0.2909
490033000|20092010|0.1250
490033000|20102011|0.1244
490033000|20112012|0.1442
490033000|20122013|0.1818
490033000|20132014|0.2266
490050000|20092010|0.1591
490050000|20102011|0.1606
490050000|20112012|0.1622
490050000|20122013|0.1773
490050000|20132014|0.2559
500001000|20092010|0.2681
500001000|20102011|0.2476
500001000|20112012|0.2381
500001000|20122013|0.2367
500001000|20132014|0.2488
500501000|20092010|0.1728
500501000|20102011|0.1596
500501000|20112012|0.1690
500501000|20122013|0.2071
500501000|20132014|0.2189
500503000|20092010|0.2054
500503000|20102011|0.1955
500503000|20112012|0.1842
500503000|20122013|0.1701
500503000|20132014|0.1709
510001000|20092010|0.1250
510001000|20102011|0.1373
510001000|20112012|0.1357
510001000|20122013|0.1446
510001000|20132014|0.1684
510006000|20092010|0.1299
510006000|20102011|0.1274
510006000|20112012|0.1255
510006000|20122013|0.0987
510006000|20132014|0.0938
520100000|20092010|-1.0000
520100000|20102011|-1.0000
520100000|20112012|-1.0000
520100000|20122013|0.1064
520100000|20132014|-1.0000
530001000|20092010|0.0901
530001000|20102011|0.0904
530001000|20112012|0.1089
530001000|20122013|0.1186
530001000|20132014|0.1377
540013000|20092010|0.1221
540013000|20102011|0.1215
540013000|20112012|0.1349
540013000|20122013|0.1023
540013000|20132014|0.1176
540096000|20092010|0.1083
540096000|20102011|0.1069
540096000|20112012|0.1105
540096000|20122013|0.1400
540096000|20132014|0.1524
540501000|20092010|0.3379
540501000|20102011|0.2484
540501000|20112012|0.2439
540501000|20122013|0.2181
540501000|20132014|0.2973
540505000|20092010|0.2402
540505000|20102011|0.2286
540505000|20112012|0.2651
540505000|20122013|0.2781
540505000|20132014|0.3472
540576000|20092010|0.1388
540576000|20102011|0.1287
540576000|20112012|0.1005
540576000|20122013|0.1290
540576000|20132014|0.1106
540586000|20092010|0.1446
540586000|20102011|0.1306
540586000|20112012|0.1255
540586000|20122013|0.1025
540586000|20132014|0.1176
550001000|20092010|0.1515
550001000|20102011|0.1472
550001000|20112012|0.1413
550001000|20122013|0.1406
550001000|20132014|0.1511
550145000|20092010|0.1299
550145000|20102011|0.1150
550145000|20112012|0.1184
550145000|20122013|0.1154
550145000|20132014|0.1016
550148000|20092010|0.0915
550148000|20102011|0.0950
550148000|20112012|0.0898
550148000|20122013|0.0793
550148000|20132014|0.0636
550160000|20092010|0.0988
550160000|20102011|0.0939
550160000|20112012|0.0871
550160000|20122013|0.0781
550160000|20132014|0.0795
550161000|20092010|0.1227
550161000|20102011|0.1258
550161000|20112012|0.1191
550161000|20122013|0.1361
550161000|20132014|0.1504
560001000|20092010|0.1679
560001000|20102011|0.1472
560001000|20112012|0.1486
560001000|20122013|0.1559
560001000|20132014|0.1704
560006000|20092010|0.1311
560006000|20102011|0.1561
560006000|20112012|0.1466
560006000|20122013|0.1393
560006000|20132014|0.1485
560007000|20092010|0.1672
560007000|20102011|0.1455
560007000|20112012|0.1374
560007000|20122013|0.1483
560007000|20132014|0.1762
560037000|20092010|0.1209
560037000|20102011|0.1156
560037000|20112012|0.1105
560037000|20122013|0.1232
560037000|20132014|0.1352
560055000|20092010|0.1676
560055000|20102011|0.1588
560055000|20112012|0.1671
560055000|20122013|0.1671
560055000|20132014|0.1860
560565000|20092010|0.0635
560565000|20102011|0.0591
560565000|20112012|0.0798
560565000|20122013|0.0800
560565000|20132014|0.0914
570501000|20092010|0.1818
570501000|20102011|0.1566
570501000|20112012|0.1675
570501000|20122013|0.1667
570501000|20132014|0.2000
580025000|20092010|0.2404
580025000|20102011|0.2247
580025000|20112012|0.2473
580025000|20122013|0.2386
580025000|20132014|0.2632
590001000|20092010|0.2008
590001000|20102011|0.1673
590001000|20112012|0.1785
590001000|20122013|0.1547
590001000|20132014|0.1680
590002000|20092010|0.1570
590002000|20102011|0.1602
590002000|20112012|0.1494
590002000|20122013|0.1591
590002000|20132014|0.1657
590005000|20092010|0.1498
590005000|20102011|0.1512
590005000|20112012|0.1396
590005000|20122013|0.1274
590005000|20132014|0.1512
590013000|20092010|0.1707
590013000|20102011|0.1606
590013000|20112012|0.1343
590013000|20122013|0.1579
590013000|20132014|0.1831
590080000|20092010|0.1871
590080000|20102011|0.1463
590080000|20112012|0.1541
590080000|20122013|0.1774
590080000|20132014|0.2068
600090000|20092010|0.1687
600090000|20102011|0.1842
600090000|20112012|0.1402
600090000|20122013|0.2121
600090000|20132014|0.2151
610004000|20092010|0.1528
610004000|20102011|0.1696
610004000|20112012|0.1833
610004000|20122013|0.1877
610004000|20132014|0.1933
610049000|20092010|0.0909
610049000|20102011|0.1077
610049000|20112012|0.0846
610049000|20122013|0.1059
610049000|20132014|0.1270
620021000|20092010|0.0920
620021000|20102011|0.0839
620021000|20112012|0.1030
620021000|20122013|0.1005
620021000|20132014|0.1192
620063000|20092010|0.1287
620063000|20102011|0.1265
620063000|20112012|0.1196
620063000|20122013|0.1245
620063000|20132014|0.1468
630001000|20092010|0.1307
630001000|20102011|0.1169
630001000|20112012|0.1266
630001000|20122013|0.1429
630001000|20132014|0.1362
630030000|20092010|0.1150
