id|year|math_avg_score|math_grade|math_basic_pct|math_proficient_pct|math_advanced_pct|math_not_tested_pct|concat_join_id
022001008|2013-2014|90.15|11|0.35|0.50|-1.00|0|0220010082013-2014
022001008|2014-2015|103.56|11|0.34|0.44|0.22|0|0220010082014-2015
022001009|2011-2012|69.84|11|0.79|-1.00|-1.00|0|0220010092011-2012
022001009|2012-2013|82.45|11|0.70|-1.00|-1.00|0|0220010092012-2013
022001009|2013-2014|80.53|11|0.74|-1.00|-1.00|0|0220010092013-2014
022001009|2014-2015|107.93|11|-1.00|0.64|-1.00|0|0220010092014-2015
022001010|2011-2012|100.57|05|-1.00|0.79|-1.00|0|0220010102011-2012
022001010|2012-2013|-1.00|05|-1.00|-1.00|-1.00|0|0220010102012-2013
022001010|2013-2014|116.00|05|-1.00|0.58|-1.00|0|0220010102013-2014
022001010|2011-2012|138.00|06|-1.00|-1.00|0.60|0|0220010102011-2012
022001010|2012-2013|130.07|06|-1.00|0.40|0.47|0|0220010102012-2013
022001010|2013-2014|-1.00|06|-1.00|-1.00|-1.00|0|0220010102013-2014
022001010|2011-2012|111.12|07|-1.00|0.71|-1.00|0|0220010102011-2012
022001010|2012-2013|-1.00|07|-1.00|-1.00|-1.00|0|0220010102012-2013
022001010|2013-2014|100.44|07|0.31|0.56|-1.00|0|0220010102013-2014
022001010|2014-2015|109.45|07|-1.00|0.73|-1.00|0|0220010102014-2015
022001010|2011-2012|121.27|08|-1.00|0.33|0.40|0|0220010102011-2012
022001010|2012-2013|99.00|08|0.43|0.36|-1.00|0|0220010102012-2013
022001010|2013-2014|102.70|08|-1.00|-1.00|-1.00|0|0220010102013-2014
022001010|2014-2015|90.19|08|0.56|0.31|-1.00|0|0220010102014-2015
030500001|2011-2012|116.18|07|-1.00|0.64|-1.00|0|0305000012011-2012
030500001|2012-2013|-1.00|07|-1.00|-1.00|-1.00|0|0305000012012-2013
030500001|2013-2014|-1.00|07|-1.00|-1.00|-1.00|0|0305000012013-2014
030500001|2014-2015|-1.00|07|-1.00|-1.00|-1.00|0|0305000012014-2015
030500001|2011-2012|-1.00|08|-1.00|-1.00|-1.00|0|0305000012011-2012
030500001|2012-2013|151.30|08|-1.00|0.50|0.50|0|0305000012012-2013
030500001|2013-2014|-1.00|08|-1.00|-1.00|-1.00|0|0305000012013-2014
030500001|2014-2015|-1.00|08|-1.00|-1.00|-1.00|0|0305000012014-2015
030500001|2011-2012|-1.00|11|-1.00|-1.00|-1.00|0|0305000012011-2012
