id|year|reading_avg_score|reading_grade|reading_basic_pct|reading_proficient_pct|reading_advanced_pct|reading_not_tested_pct|concat_join_id
010090003|2013-2014|104.43|03|-1.00|0.57|-1.00|0|0100900032013-2014
010090003|2014-2015|142.89|03|-1.00|0.37|0.63|0|0100900032014-2015
010090003|2011-2012|118.71|04|-1.00|0.53|0.29|0|0100900032011-2012
010090003|2012-2013|122.41|04|-1.00|0.53|0.29|0|0100900032012-2013
010090003|2013-2014|117.94|04|-1.00|0.59|0.29|0|0100900032013-2014
010090003|2014-2015|133.06|04|-1.00|0.41|0.47|0|0100900032014-2015
010090003|2011-2012|130.90|05|-1.00|0.50|0.50|0|0100900032011-2012
010090003|2012-2013|128.45|05|-1.00|0.45|0.45|0|0100900032012-2013
010090003|2013-2014|121.17|05|-1.00|0.50|0.33|0|0100900032013-2014
010090003|2014-2015|132.47|05|-1.00|0.42|0.47|0|0100900032014-2015
010090003|2011-2012|-1.00|06|-1.00|-1.00|-1.00|0|0100900032011-2012
010090003|2012-2013|115.60|06|-1.00|0.70|-1.00|0|0100900032012-2013
010090003|2013-2014|137.60|06|-1.00|0.55|0.45|0|0100900032013-2014
010090003|2014-2015|133.15|06|-1.00|0.45|0.45|0|0100900032014-2015
010090004|2011-2012|-1.00|03|-1.00|-1.00|-1.00|0|0100900042011-2012
010090004|2011-2012|-1.00|04|-1.00|-1.00|-1.00|0|0100900042011-2012
010090004|2011-2012|-1.00|05|-1.00|-1.00|-1.00|0|0100900042011-2012
010090004|2011-2012|-1.00|06|-1.00|-1.00|-1.00|0|0100900042011-2012
010090005|2011-2012|-1.00|03|-1.00|-1.00|-1.00|0|0100900052011-2012
010090005|2011-2012|-1.00|04|-1.00|-1.00|-1.00|0|0100900052011-2012
010090005|2011-2012|-1.00|05|-1.00|-1.00|-1.00|0|0100900052011-2012
010090005|2011-2012|-1.00|06|-1.00|-1.00|-1.00|0|0100900052011-2012
010090006|2011-2012|118.17|03|-1.00|0.44|0.39|0|0100900062011-2012
010090006|2012-2013|109.13|03|-1.00|0.80|-1.00|0|0100900062012-2013
010090006|2013-2014|100.86|03|-1.00|0.71|-1.00|0|0100900062013-2014
010090006|2014-2015|123.65|03|-1.00|0.75|0.25|0|0100900062014-2015
010090006|2011-2012|113.16|04|-1.00|0.76|-1.00|0|0100900062011-2012
010090006|2012-2013|119.88|04|-1.00|0.38|0.44|0|0100900062012-2013
010090006|2013-2014|123.94|04|-1.00|0.44|0.38|0|0100900062013-2014
010090006|2014-2015|125.38|04|-1.00|0.57|0.38|0|0100900062014-2015
010090006|2011-2012|116.21|05|-1.00|0.58|0.29|0|0100900062011-2012
010090006|2012-2013|109.45|05|0.32|0.36|0.32|0|0100900062012-2013
010090006|2013-2014|121.44|05|-1.00|0.56|0.31|0|0100900062013-2014
010090006|2014-2015|134.95|05|-1.00|0.38|0.57|0|0100900062014-2015
010090006|2011-2012|133.87|06|-1.00|0.40|0.53|0|0100900062011-2012
010090006|2012-2013|110.52|06|-1.00|0.48|0.33|0|0100900062012-2013
010090006|2013-2014|122.22|06|0.22|0.39|0.39|0|0100900062013-2014
010090006|2014-2015|125.82|06|-1.00|0.53|0.35|0|0100900062014-2015
010123001|2011-2012|109.79|07|-1.00|0.57|-1.00|0|0101230012011-2012
010123001|2012-2013|126.50|07|-1.00|0.50|0.43|0|0101230012012-2013
010123001|2013-2014|132.92|07|-1.00|0.58|-1.00|0|0101230012013-2014
010123001|2014-2015|119.25|07|-1.00|-1.00|0.42|0|0101230012014-2015
010123001|2011-2012|108.59|08|-1.00|0.65|-1.00|0|0101230012011-2012
010123001|2012-2013|100.27|08|-1.00|0.67|-1.00|0|0101230012012-2013
010123001|2013-2014|104.71|08|-1.00|0.50|-1.00|0|0101230012013-2014
010123001|2014-2015|114.56|08|-1.00|0.44|0.38|0|0101230012014-2015
010123001|2011-2012|101.82|11|0.32|0.55|-1.00|0|0101230012011-2012
010123001|2012-2013|102.93|11|-1.00|0.67|-1.00|0|0101230012012-2013
010123001|2013-2014|116.88|11|-1.00|0.63|-1.00|0|0101230012013-2014
010123001|2014-2015|124.54|11|-1.00|-1.00|0.46|0|0101230012014-2015
010123002|2011-2012|110.64|03|-1.00|0.71|-1.00|0|0101230022011-2012
010123002|2012-2013|104.64|03|-1.00|0.64|-1.00|0|0101230022012-2013
010123002|2013-2014|114.00|03|0.26|0.48|0.26|0|0101230022013-2014
010123002|2014-2015|115.50|03|-1.00|0.63|-1.00|0|0101230022014-2015
010123002|2011-2012|-1.00|04|-1.00|-1.00|-1.00|0|0101230022011-2012
010123002|2012-2013|119.21|04|-1.00|0.43|0.43|0|0101230022012-2013
010123002|2013-2014|125.00|04|-1.00|0.50|0.42|0|0101230022013-2014
010123002|2014-2015|101.10|04|0.33|0.57|-1.00|0|0101230022014-2015
010123002|2011-2012|111.92|05|-1.00|0.42|-1.00|0|0101230022011-2012
010123002|2012-2013|122.60|05|-1.00|-1.00|-1.00|0|0101230022012-2013
010123002|2013-2014|116.29|05|-1.00|0.50|-1.00|0|0101230022013-2014
010123002|2014-2015|125.50|05|-1.00|-1.00|0.50|0|0101230022014-2015
010123002|2011-2012|112.08|06|-1.00|0.54|-1.00|0|0101230022011-2012
010123002|2012-2013|116.77|06|-1.00|0.46|-1.00|0|0101230022012-2013
010123002|2013-2014|118.45|06|-1.00|-1.00|0.45|0|0101230022013-2014
010123002|2014-2015|112.00|06|-1.00|0.71|-1.00|0|0101230022014-2015
020009001|2011-2012|114.97|07|-1.00|0.55|0.32|0|0200090012011-2012
020009001|2012-2013|107.61|07|0.33|0.42|0.24|0|0200090012012-2013
020009001|2013-2014|115.65|07|0.19|0.58|0.23|0|0200090012013-2014
020009001|2014-2015|116.39|07|0.22|0.52|0.26|0|0200090012014-2015
020009001|2011-2012|106.03|08|0.23|0.57|0.20|0|0200090012011-2012
020009001|2012-2013|125.03|08|-1.00|0.57|0.33|0|0200090012012-2013
020009001|2013-2014|112.91|08|0.19|0.56|0.25|0|0200090012013-2014
020009001|2014-2015|105.04|08|0.29|0.61|-1.00|0|0200090012014-2015
020009001|2011-2012|110.68|11|0.23|0.50|0.27|0|0200090012011-2012
020009001|2012-2013|105.67|11|-1.00|0.75|-1.00|0|0200090012012-2013
020009001|2013-2014|118.04|11|0.27|0.42|0.31|0|0200090012013-2014
020009001|2014-2015|117.09|11|0.14|0.63|0.23|0|0200090012014-2015
020009002|2011-2012|106.91|03|0.24|0.61|0.15|0|0200090022011-2012
020009002|2012-2013|107.31|03|-1.00|0.77|-1.00|0|0200090022012-2013
020009002|2013-2014|104.35|03|0.39|0.43|-1.00|0|0200090022013-2014
020009002|2014-2015|130.71|03|-1.00|0.55|0.42|0|0200090022014-2015
020009002|2011-2012|101.92|04|0.36|0.44|0.20|0|0200090022011-2012
020009002|2012-2013|105.77|04|0.34|0.54|-1.00|0|0200090022012-2013
020009002|2013-2014|107.93|04|0.21|0.57|0.21|0|0200090022013-2014
020009002|2014-2015|121.50|04|-1.00|0.60|0.30|0|0200090022014-2015
020009002|2011-2012|107.52|05|0.28|0.32|0.40|1|0200090022011-2012
020009002|2012-2013|113.63|05|0.29|0.50|0.21|0|0200090022012-2013
020009002|2013-2014|122.75|05|0.19|0.44|0.38|0|0200090022013-2014
020009002|2014-2015|106.50|05|0.27|0.50|0.23|0|0200090022014-2015
020009002|2011-2012|106.97|06|0.33|0.40|0.27|0|0200090022011-2012
020009002|2012-2013|116.33|06|-1.00|0.63|0.26|0|0200090022012-2013
020009002|2013-2014|128.54|06|-1.00|0.50|0.38|0|0200090022013-2014
020009002|2014-2015|121.53|06|-1.00|0.53|0.34|0|0200090022014-2015
020018001|2011-2012|135.13|07|-1.00|0.40|0.53|0|0200180012011-2012
020018001|2012-2013|-1.00|07|-1.00|-1.00|-1.00|0|0200180012012-2013
