CountyDistrictSchool|School Year|HAL Percentage
790032000|20102011|0.0521
794001000|20102011|-1.0000
800005000|20102011|0.0714
800009000|20102011|0.0825
800567000|20102011|0.1617
810003000|20102011|0.2385
810010000|20102011|0.2146
820001000|20102011|0.0664
820015000|20102011|-1.0000
830500000|20102011|0.2283
840003000|20102011|0.0651
850060000|20102011|0.3137
850070000|20102011|0.1353
852001000|20102011|0.1862
860001000|20102011|0.1765
870001000|20102011|0.2533
870013000|20102011|0.3579
870016000|20102011|-1.0000
870017000|20102011|0.0630
880005000|20102011|0.0819
880021000|20102011|0.4609
890001000|20102011|0.0392
890003000|20102011|0.1477
890024000|20102011|0.1076
900017000|20102011|0.1031
900560000|20102011|0.1368
900595000|20102011|0.2783
910002000|20102011|0.2895
910074000|20102011|-1.0000
920045000|20102011|0.1346
930012000|20102011|0.1448
930083000|20102011|0.1514
930096000|20102011|0.1294
934001000|20102011|-1.0000
000000000|20102011|0.1433
010003000|20112012|0.2348
010018000|20112012|0.1057
010090000|20112012|0.1993
010123000|20112012|0.1737
014001000|20112012|-1.0000
020009000|20112012|0.3386
020018000|20112012|0.2680
022001000|20112012|0.1404
030500000|20112012|0.0952
040001000|20112012|0.1329
050071000|20112012|0.1140
060001000|20112012|0.0619
060006000|20112012|0.2034
060017000|20112012|0.1970
070006000|20112012|0.1946
070010000|20112012|0.1132
080036000|20112012|0.3656
080050000|20112012|0.2009
090010000|20112012|0.1649
100002000|20112012|0.0578
100007000|20112012|0.1333
100009000|20112012|0.1043
100019000|20112012|0.1414
100069000|20112012|0.1206
100105000|20112012|0.2661
100119000|20112012|0.0606
100600000|20112012|-1.0000
110001000|20112012|0.1257
110014000|20112012|0.6341
110020000|20112012|0.0583
120056000|20112012|0.0643
120502000|20112012|0.1121
130001000|20112012|0.1172
130022000|20112012|0.0706
130032000|20112012|0.1304
130056000|20112012|0.1246
130097000|20112012|0.2356
140008000|20112012|-1.0000
140045000|20112012|0.1103
140054000|20112012|0.1104
140101000|20112012|0.0915
140541000|20112012|-1.0000
150010000|20112012|0.1625
150536000|20112012|0.1290
160006000|20112012|0.0474
160030000|20112012|0.1221
170001000|20112012|0.1935
170003000|20112012|-1.0000
170009000|20112012|0.2974
180002000|20112012|0.2328
180011000|20112012|0.2172
190039000|20112012|0.2037
190058000|20112012|0.2346
190123000|20112012|0.0739
192001000|20112012|0.2951
200001000|20112012|0.0941
200020000|20112012|0.1170
200030000|20112012|0.1549
210015000|20112012|0.0891
210025000|20112012|0.1179
210044000|20112012|0.2564
210084000|20112012|0.1356
210089000|20112012|0.1545
210180000|20112012|-1.0000
220011000|20112012|0.0504
220031000|20112012|0.3542
224005000|20112012|-1.0000
230002000|20112012|0.0680
230071000|20112012|0.0938
230601000|20112012|-1.0000
240001000|20112012|0.1016
240004000|20112012|0.0600
240011000|20112012|0.0916
240020000|20112012|0.1232
240101000|20112012|0.1228
250025000|20112012|0.1116
250095000|20112012|-1.0000
260001000|20112012|-1.0000
260024000|20112012|0.1250
260070000|20112012|0.1111
260561000|20112012|0.1571
270001000|20112012|0.1300
270062000|20112012|0.1408
270594000|20112012|0.0499
270595000|20112012|0.1613
280001000|20112012|0.1480
280010000|20112012|0.1328
280015000|20112012|0.0951
280017000|20112012|0.2962
280054000|20112012|0.1318
280059000|20112012|0.1517
280066000|20112012|0.1065
280602000|20112012|-1.0000
284004000|20112012|-1.0000
284005000|20112012|-1.0000
284007000|20112012|-1.0000
284008000|20112012|-1.0000
284011000|20112012|-1.0000
284015000|20112012|-1.0000
284020000|20112012|-1.0000
290117000|20112012|0.1033
300001000|20112012|0.1692
300025000|20112012|0.1109
300054000|20112012|-1.0000
300600000|20112012|-1.0000
310506000|20112012|0.1056
320046000|20112012|0.2270
320095000|20112012|0.0957
320125000|20112012|0.1442
330018000|20112012|0.1367
330021000|20112012|0.0594
330540000|20112012|0.0686
340001000|20112012|1.0570
340015000|20112012|0.0780
340034000|20112012|0.1035
340100000|20112012|0.1475
350001000|20112012|0.1266
360100000|20112012|0.1948
370030000|20112012|0.1423
380011000|20112012|0.1085
390010000|20112012|0.1543
390055000|20112012|0.2778
390501000|20112012|1.0748
400002000|20112012|0.0723
400082000|20112012|0.1523
400083000|20112012|0.0326
400126000|20112012|0.0648
410002000|20112012|0.1620
410091000|20112012|0.0988
410504000|20112012|0.1155
420002000|20112012|0.1840
430079000|20112012|0.1095
440070000|20112012|0.1111
450007000|20112012|0.1558
450029000|20112012|0.2185
450044000|20112012|-1.0000
450137000|20112012|0.0993
450239000|20112012|-1.0000
460001000|20112012|0.1848
470001000|20112012|0.1225
470100000|20112012|0.0338
470103000|20112012|-1.0000
